"name","community","published_date","researcher","available_at","research_report_title","keyword_1","keyword_2","keyword_3","Id"
"RR 116","8",1998,"Opus International Consultants Limited","www.nzta.govt.nz/resources/research/reports/116","Lead Based Paint Management on Roading Structures:
Section IV Model Specification","Lead paint removal","risk assessment","maintenance painting",96
"RR 125","11",1998,"Bartley Consultants Limited","www.nzta.govt.nz/resources/research/reports/125","Loadman Portable Falling Weight Deflectometer:
Development of Testing Procedures","Elastic modulus","falling weight deflectometer","FWD",97
"RR 135","19",1999,"Riddolls & Grocott","www.nzta.govt.nz/resources/research/reports/135","A Risk Assessment Procedure for Optimising Slope-Failure Preventative Maintenance Programmes","Assessment","benefit","benefit/cost",98
"RR 154","20",1999,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/154","Assessment of A Temperature-Sensitive Bitumen for Chipsealing on New Zealand Roads","Bitumen","control","instrumentation",99
"RR 164","21",2000,"TERNZ","www.nzta.govt.nz/resources/research/reports/164","The Impact of Small Diameter Tyres on Pavement Wear","Contact pressure","dynamic wheel loads","inflation",100
"RR 174","1",2000,"Infratech Systems & Services Pty","www.nzta.govt.nz/resources/research/reports/174","Health Monitoring of Superstructures of New Zealand Road Bridges: Tuakopai Bridge, Bay Of Plenty","Bridges","bridge dynamics","bridge health",101
"RR 20","12",1993,"NZ Institute of Economic Research","www.nzta.govt.nz/resources/research/reports/20","Land transport pricing: digest report","Charging","congestion","costs",102
"RR 220","14",2001,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/220","Assessing Passing Opportunities - Stage 3","Highways","overtaking","passing lanes",103
"RR 239","22",2003,"Beca Carter Hollings & Ferner","www.nzta.govt.nz/resources/research/reports/239","Guidelines for Design & Construction of Geosynthetic-Reinforced Soil Structures in New Zealand","Construction","design","earthquakes",104
"RR 241","23",2003,"Booz Allen & Hamilton","www.nzta.govt.nz/resources/research/reports/241","Research into Traffic Peak Spreading","Behavioural research","evaluation","modelling",105
"RR 245","14",2003,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/245","Assessment of Rural Road Simulation Modelling Tools","Rural highways","two-lane","simulation",106
"RR 251","24",2003,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/251","Cost Effective Remedial Techniques for Reinforcement Corrosion in Concrete Bridges","Bridges","cathodic protection","chloride extraction",107
"RR 260","5",2004,"MWH New Zealand Ltd","www.nzta.govt.nz/resources/research/reports/260","Integrated Stormwater Management Guidelines for the New Zealand Roading Network","Compliance","design","drainage",108
"RR 277","25",2006,"Data Collection Ltd","www.nzta.govt.nz/resources/research/reports/277","Harmonising Automated Rut Depth Measurements - Stage 2","pavement","pavement condition","pavement monitoring",109
"RR 288","26",2006,"TERNZ Ltd and University of Waikato","www.nzta.govt.nz/resources/research/reports/288","Assessment of Hazard Warning Signs used on New Zealand Roads","Crashes","driver behaviour","hazards",110
"RR 295","6",2006,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/295","The effect of crushing on the skid resistance of chipseal roads","Aggregate","chipseal","crushing",111
"RR 307","6",2006,"Transit NZ","www.nzta.govt.nz/resources/research/reports/307","Fatigue Design Criteria for Low Noise Surfacings on New Zealand Roads","Accelerated pavement testing","CAPTIF","chipseal",112
"RR 312","27",2007,"GHD Limited/University of Auckland","www.nzta.govt.nz/resources/research/reports/312","Safety implications of flush medians in Auckland City - further analysis","Analysis","Auckland","before/after",113
"RR 318","28",2007,"Bartley Consultants Ltd","www.nzta.govt.nz/resources/research/reports/318","Clay Mineralogy of Modified Marginal Aggregates","Adesite","aggregate","analysis",114
"RR 32A","29",1994,"Beca Carter Hollings and Ferner / Traffic Planning Consultants Ltd","www.nzta.govt.nz/resources/research/reports/32A","Annex: Site design for heavy vehicle facilities","A-train","access","B-train",115
"RR 334","30",39508,"Bartley Consultants Ltd","www.nzta.govt.nz/resources/research/reports/334","Flexural modulus of typical New Zealand structural asphalt mixes","Contamination","environmental impact","leaching",116
"RR 340","31",2008,"MWH New Zealand Ltd","www.nzta.govt.nz/resources/research/reports/340","Estimating demand for new cycling facilities in New Zealand","AADT","bicycle","count",117
"RR 365","32",39845,"John Edgar Consulting and TERNZ Ltd","www.nzta.govt.nz/resources/research/reports/365","The usability and safety of audio tactile profiled road markings","Audio tactile","benefits","centreline",118
"RR 378 Vol 2","33",40057,"MWH New Zealand Ltd","www.nzta.govt.nz/resources/research/reports/378","Climate change effects on the land transport network. Volume 1","Climate change","coastal shipping","erosion",119
"RR 388","34",40057,"NIWA","www.nzta.govt.nz/resources/research/reports/388","Reconstruction of coal tar contaminated
roads by in-situ recycling using foamed bitumen stabilisation","Asphalt","cement","coal tar",120
"RR 389","16",40088,"Beca Infrastructure Ltd","www.nzta.govt.nz/resources/research/reports/389","Cycle Safety: Reducing the Crash Risk","bicycles","crash prediction models","crash",121
"RR 39","17",1995,"Gabites Porter Consultants","www.nzta.govt.nz/resources/research/reports/39","System-wide road accident analysis","Christchurch","Hamilton","North Shore",122
